UID          PID    PPID  C STIME TTY          TIME CMD
root      119925    1328  0 12:29 ?        00:00:00 gdm-session-worker [pam/gdm-password]
deleteme  124247    2557  0 17:17 pts/0    00:00:00 bash -v
deleteme  124254  124247  0 17:17 pts/0    00:00:00 bash -v
deleteme  124297  124254  0 17:18 pts/0    00:00:00 bash -v
root      125986       2  0 19:21 ?        00:00:00 [kworker/1:2-mm_percpu_wq]
root      126747       2  0 20:21 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
root      127387       2  0 21:01 ?        00:00:00 [kworker/2:0-events]
root      127562       2  0 21:14 ?        00:00:00 [kworker/u8:1-events_unbound]
root      127606       2  0 21:17 ?        00:00:00 [kworker/3:1-events]
root      127744       2  0 21:22 ?        00:00:00 [kworker/u8:0-events_power_efficient]
root      127776       2  0 21:26 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root      127901       2  0 21:31 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root      127903       2  0 21:31 ?        00:00:00 [kworker/0:1-events]
root      128010       2  0 21:36 ?        00:00:00 [kworker/0:2-events]
root      128072       2  0 21:41 ?        00:00:00 [kworker/2:1]
deleteme  128087    1346  0 21:43 ?        00:00:00 /usr/libexec/tracker-store
deleteme  128119  124297  0 21:43 pts/0    00:00:00 /bin/bash ./myscript.sh
deleteme  128120  128119  0 21:43 pts/0    00:00:00 ps -ef
